episode,max_tile,episode_reward,episode_steps
355,256,2956,319
356,256,2028,177
357,128,1672,159
358,256,3408,302
359,256,2984,343
360,256,3208,303
361,256,3324,278
362,256,3040,305
363,256,2940,281
364,256,2996,250
365,512,4912,439
366,512,5132,463
367,512,5284,444
368,256,2976,318
369,256,3356,363
370,512,5424,429
371,256,3136,573
372,128,2248,349
373,256,2984,372
374,512,6140,609
375,256,2976,289
376,128,1360,139
377,256,3096,300
378,128,1372,175
379,128,1336,177
380,512,5264,473
381,128,1680,186
382,256,2852,292
383,256,3020,428
384,256,2768,307
385,256,2952,384
386,256,2872,284
387,256,2996,473
388,512,5128,431
389,128,984,131
390,512,6388,808
391,128,1664,260
392,256,2736,322
393,512,6700,521
394,256,3052,305
395,512,4880,418
396,256,3032,501
397,256,3264,303
398,256,2952,238
399,512,5088,427
400,512,6200,528
401,256,3176,514
402,512,5336,574
403,512,4872,329
404,512,6780,476
405,256,2760,297
406,256,3224,266
407,256,3380,288
408,512,5584,401
409,128,1572,198
410,512,5152,499
411,256,3048,269
412,512,5304,676
413,128,1416,159
414,256,2896,235
415,256,3252,261
416,256,2892,343
417,512,6856,659
418,256,3164,387
419,128,1380,157
420,512,6156,483
421,256,3548,455
422,256,2300,375
423,256,3032,368
424,256,4388,364
425,512,5156,579
426,256,2640,211
427,256,3332,282
428,128,2000,334
429,512,5372,694
430,128,1676,219
431,256,3760,511
432,256,3792,370
433,256,2628,371
434,128,1356,295
435,256,2868,268
436,512,6020,429
437,512,6200,585
438,256,2876,412
439,128,1284,159
440,256,3020,229
441,256,2736,223
442,256,3056,331
443,256,2936,265
444,128,1504,199
445,256,2860,269
446,256,2880,242
447,512,6264,556
448,512,6776,571
449,256,2928,237
450,128,980,129
451,256,3180,489
452,256,2652,304
453,512,6808,495
454,512,4808,572
455,256,2676,212
456,128,1420,155
457,256,2336,240
458,256,4568,471
459,512,6272,478
460,256,2976,240
461,256,2880,336
462,256,3624,537
463,512,5168,500
464,256,3260,348
465,256,2884,335
466,256,3068,243
467,256,3724,294
468,512,5216,485
469,128,1936,213
470,256,3108,252
471,256,3036,297
472,512,6600,597
473,256,3432,354
474,256,4376,352
475,256,2424,279
476,256,2248,178
477,256,3092,258
478,256,2548,314
479,512,4664,374
480,256,2712,265
481,512,6712,670
482,256,3096,334
483,256,3084,303
484,128,1128,120
485,128,2276,351
486,512,5284,581
487,512,4688,406
488,256,2980,266
489,256,3112,330
490,512,6932,786
491,256,3080,274
492,256,3688,447
493,512,5244,350
494,256,3040,253
495,512,5496,466
496,512,5524,581
497,512,6696,616
498,1024,10816,926
499,256,3472,400
500,512,4552,465
501,128,1580,156
502,512,5084,398
503,256,4052,491
504,256,4092,335
505,256,3044,525
506,256,2072,182
507,512,5280,490
508,512,6096,622
509,512,6912,686
510,512,6328,639
511,256,2964,293
512,256,3556,295
513,256,3012,285
514,256,3420,620
515,256,3716,334
516,512,5216,403
517,128,1588,248
518,256,3040,299
519,512,6536,536
520,256,3112,290
521,256,2916,241
522,256,3072,312
523,128,1296,168
524,256,3848,320
525,512,6304,453
526,128,1812,471
527,256,2896,229
528,512,5212,474
529,256,4716,403
530,512,6868,538
531,256,2960,258
532,512,5048,498
533,256,3172,425
534,256,3536,342
535,256,3128,247
536,512,6036,570
537,256,2936,263
538,256,3160,315
539,512,4720,425
540,256,3224,253
541,512,4920,394
542,512,5436,602
543,256,3212,325
544,256,3656,353
545,256,3000,268
546,256,3004,289
547,256,3796,301
548,512,5728,594
549,512,6212,525
550,256,2952,259
551,512,5392,578
552,256,2544,293
553,256,2516,235
554,512,7000,690
555,256,3304,399
556,512,5896,432
557,256,3056,403
558,256,2996,452
559,256,2848,228
560,128,1492,167
561,512,5792,731
562,256,3208,344
563,512,4528,456
564,512,5104,448
565,256,2548,358
566,256,2400,234
567,256,4048,504
568,128,1564,148
569,512,6420,541
570,128,1064,147
571,256,2752,271
572,128,1688,182
573,128,1496,159
574,256,3408,294
575,256,2820,275
576,256,2948,276
577,512,5236,416
578,512,4896,524
579,512,6608,579
580,256,2988,269
581,256,2948,236
582,512,5184,479
583,512,6728,627
584,128,1096,132
585,256,3020,609
586,512,6144,478
587,128,1628,241
588,512,7360,802
589,256,3072,340
590,256,3348,566
591,256,3000,313
592,512,6512,771
593,512,6940,589
594,256,2872,300
595,256,3112,334
596,512,4652,401
597,256,3264,308
598,256,2996,247
599,512,6128,567
600,64,616,93
601,256,2560,275
602,128,1284,137
603,512,5368,422
604,512,6796,707
605,256,3044,277
606,256,3224,271
607,128,2128,231
608,512,5524,537
609,256,2924,275
610,128,1364,147
611,256,2332,210
612,256,3108,292
613,128,1408,159
614,256,3468,329
615,512,5152,339
616,256,2952,278
617,256,3160,273
618,256,2748,243
619,512,6124,494
620,256,3956,387
621,256,3020,243
622,512,6948,606
623,256,2384,241
624,256,2680,283
625,256,2952,344
626,512,5156,380
627,128,1352,179
628,512,5288,501
629,128,1756,154
630,256,3072,249
631,256,3036,290
632,256,2988,349
633,256,3180,277
634,256,3032,284
635,256,2352,198
636,256,3024,306
637,512,6876,585
638,512,5280,428
639,512,4572,389
