episode,episode_steps,episode_reward,max_tile
355,319,2956,256
356,177,2028,256
357,159,1672,128
358,302,3408,256
359,343,2984,256
360,303,3208,256
361,278,3324,256
362,305,3040,256
363,281,2940,256
364,250,2996,256
365,439,4912,512
366,463,5132,512
367,444,5284,512
368,318,2976,256
369,363,3356,256
370,429,5424,512
371,573,3136,256
372,349,2248,128
373,372,2984,256
374,609,6140,512
375,289,2976,256
376,139,1360,128
377,300,3096,256
378,175,1372,128
379,177,1336,128
380,473,5264,512
381,186,1680,128
382,292,2852,256
383,428,3020,256
384,307,2768,256
385,384,2952,256
386,284,2872,256
387,473,2996,256
388,431,5128,512
389,131,984,128
390,808,6388,512
391,260,1664,128
392,322,2736,256
393,521,6700,512
394,305,3052,256
395,418,4880,512
396,501,3032,256
397,303,3264,256
398,238,2952,256
399,427,5088,512
400,528,6200,512
401,514,3176,256
402,574,5336,512
403,329,4872,512
404,476,6780,512
405,297,2760,256
406,266,3224,256
407,288,3380,256
408,401,5584,512
409,198,1572,128
410,499,5152,512
411,269,3048,256
412,676,5304,512
413,159,1416,128
414,235,2896,256
415,261,3252,256
416,343,2892,256
417,659,6856,512
418,387,3164,256
419,157,1380,128
420,483,6156,512
421,455,3548,256
422,375,2300,256
423,368,3032,256
424,364,4388,256
425,579,5156,512
426,211,2640,256
427,282,3332,256
428,334,2000,128
429,694,5372,512
430,219,1676,128
431,511,3760,256
432,370,3792,256
433,371,2628,256
434,295,1356,128
435,268,2868,256
436,429,6020,512
437,585,6200,512
438,412,2876,256
439,159,1284,128
440,229,3020,256
441,223,2736,256
442,331,3056,256
443,265,2936,256
444,199,1504,128
445,269,2860,256
446,242,2880,256
447,556,6264,512
448,571,6776,512
449,237,2928,256
450,129,980,128
451,489,3180,256
452,304,2652,256
453,495,6808,512
454,572,4808,512
455,212,2676,256
456,155,1420,128
457,240,2336,256
458,471,4568,256
459,478,6272,512
460,240,2976,256
461,336,2880,256
462,537,3624,256
463,500,5168,512
464,348,3260,256
465,335,2884,256
466,243,3068,256
467,294,3724,256
468,485,5216,512
469,213,1936,128
470,252,3108,256
471,297,3036,256
472,597,6600,512
473,354,3432,256
474,352,4376,256
475,279,2424,256
476,178,2248,256
477,258,3092,256
478,314,2548,256
479,374,4664,512
480,265,2712,256
481,670,6712,512
482,334,3096,256
483,303,3084,256
484,120,1128,128
485,351,2276,128
486,581,5284,512
487,406,4688,512
488,266,2980,256
489,330,3112,256
490,786,6932,512
491,274,3080,256
492,447,3688,256
493,350,5244,512
494,253,3040,256
495,466,5496,512
496,581,5524,512
497,616,6696,512
498,926,10816,1024
499,400,3472,256
500,465,4552,512
501,156,1580,128
502,398,5084,512
503,491,4052,256
504,335,4092,256
505,525,3044,256
506,182,2072,256
507,490,5280,512
508,622,6096,512
509,686,6912,512
510,639,6328,512
511,293,2964,256
512,295,3556,256
513,285,3012,256
514,620,3420,256
515,334,3716,256
516,403,5216,512
517,248,1588,128
518,299,3040,256
519,536,6536,512
520,290,3112,256
521,241,2916,256
522,312,3072,256
523,168,1296,128
524,320,3848,256
525,453,6304,512
526,471,1812,128
527,229,2896,256
528,474,5212,512
529,403,4716,256
530,538,6868,512
531,258,2960,256
532,498,5048,512
533,425,3172,256
534,342,3536,256
535,247,3128,256
536,570,6036,512
537,263,2936,256
538,315,3160,256
539,425,4720,512
540,253,3224,256
541,394,4920,512
542,602,5436,512
543,325,3212,256
544,353,3656,256
545,268,3000,256
546,289,3004,256
547,301,3796,256
548,594,5728,512
549,525,6212,512
550,259,2952,256
551,578,5392,512
552,293,2544,256
553,235,2516,256
554,690,7000,512
555,399,3304,256
556,432,5896,512
557,403,3056,256
558,452,2996,256
559,228,2848,256
560,167,1492,128
561,731,5792,512
562,344,3208,256
563,456,4528,512
564,448,5104,512
565,358,2548,256
566,234,2400,256
567,504,4048,256
568,148,1564,128
569,541,6420,512
570,147,1064,128
571,271,2752,256
572,182,1688,128
573,159,1496,128
574,294,3408,256
575,275,2820,256
576,276,2948,256
577,416,5236,512
578,524,4896,512
579,579,6608,512
580,269,2988,256
581,236,2948,256
582,479,5184,512
583,627,6728,512
584,132,1096,128
585,609,3020,256
586,478,6144,512
587,241,1628,128
588,802,7360,512
589,340,3072,256
590,566,3348,256
591,313,3000,256
592,771,6512,512
593,589,6940,512
